Name,discounted_price,actual_price,saving_percent,rating,reviews,brand,model,core,ssd,ssd_gb,has_valid_ssd
"HP Spectre 14-EU0000 Ultra 7 (32GB, 2TB SSD) OLED Plus HP PEN",519999,550000,5,,,hp,Spectre 14-EU0000 Ultra 7  OLED Plus HP PEN,Ultra 7,,,0
HP ENVY x360 14 ES1023dx 14th Gen Core 7 (16GB-512GB),233999,250000,6,,,hp,ENVY x360 14 ES1023dx 14th Gen Core 7,,,,0
HP EliteBook 640 G10 13th Gen Core i5 14 inches (8GB-512GB),199999,230000,13,,,hp,EliteBook 640 G10 13th Gen Core i5 14 inches,Core i5,,,0
HP Elitebook 640 G11 Ultra 5 125U,252999,280000,10,,,hp,Elitebook 640 G11 Ultra 5 125U,Ultra 5,,,0
HP Laptop 15-FD0532NIA Intel Core i3-1315U 13th Gen (4GB-256GB),110999,119000,7,5,1,hp,Laptop 15-FD0532NIA Intel Core i3-1315U 13th Gen,Core i3,,,0
HP Laptop 15S FQ5276NIA i3 12th Gen (4GB-256GB),107999,125000,14,,,hp,Laptop 15S FQ5276NIA i3 12th Gen,,,,0
HP 15 FD0336nia 13th Gen Core i3 (4GB-256GB),107999,125000,14,,,hp,15 FD0336nia 13th Gen Core i3,Core i3,,,0
HP Victus 16-R0042NE Ci7-13700H (16GB-1TB SSD) RTX™ 4060 8GB,327999,375000,13,,,hp,Victus 16-R0042NE Ci7-13700H  RTX™ 4060 8GB,,,,0
HP Probook 440 G11 Ultra 7 155u,227999,275000,17,,,hp,Probook 440 G11 Ultra 7 155u,Ultra 7,,,0
HP ProBook 450 G9 15.6 Inches 12th Gen Core i5 DOS (8GB - 512GB),199999,239999,17,,,hp,ProBook 450 G9 15.6 Inches 12th Gen Core i5 DOS,Core i5,,,0
HP Victus 15-FA2317TX Ci7-13620H (16GB-512GB SSD) RTX 4050 6GB,301999,350000,14,,,hp,Victus 15-FA2317TX Ci7-13620H  RTX 4050 6GB,,16GB-512GB SSD,16,1
HP EliteBook 840 G11 Ultra 7-155U vPro (16GB-512GB SSD),344999,380000,9,,,hp,EliteBook 840 G11 Ultra 7-155U vPro,Ultra 7,16GB-512GB SSD,16,1
HP Victus 15-FB2146AX R7-8845HS (16GB-512GB SSD) RTX 4060 8GB,296999,335000,11,,,hp,Victus 15-FB2146AX R7-8845HS  RTX 4060 8GB,,16GB-512GB SSD,16,1
HP OmniBook 14 FM0013DX Core Ultra 5 226V (16GB-512GB SSD),215999,270000,20,,,hp,OmniBook 14 FM0013DX Core Ultra 5 226V,M0,16GB-512GB SSD,16,1
HP Victus 15-FA2787NR Core i7-13620H Gaming Laptop (16GB-512GB SSD) RTX 5060 8GB,351999,380000,7,,,hp,Victus 15-FA2787NR Core i7-13620H Gaming Laptop  RTX 5060 8GB,Core i7,16GB-512GB SSD,16,1
HP Victus 15-FA2209TX Ci7 14650HX (16GB-512GB SSD) RTX-4050-6GB,337999,390000,13,,,hp,Victus 15-FA2209TX Ci7 14650HX  RTX-4050-6GB,,16GB-512GB SSD,16,1
HP Victus 15-FB3093DX AMD Ryzen 7-7445H (16GB-512GB SSD) RTX 4050 6GB,247999,285000,13,,,hp,Victus 15-FB3093DX AMD Ryzen 7-7445H  RTX 4050 6GB,Ryzen 7,16GB-512GB SSD,16,1
HP VICTUS 15-FA2701WM Ci5-13420H (16GB-512GB SSD) RTX 4050 6GB,233999,275999,15,,,hp,VICTUS 15-FA2701WM Ci5-13420H  RTX 4050 6GB,,16GB-512GB SSD,16,1
"HP 15-DY5131WM Laptop 12thGen Core i3 (8GB RAM, 256GB SSD)",109999,135000,19,4,1,hp,15-DY5131WM Laptop 12thGen Core i3,Core i3,256GB SSD,256,1
"HP 15S-FQ5000NIA Ci3-1215U (4GB, 256GB SSD)",101999,149000,32,,,hp,15S-FQ5000NIA Ci3-1215U,,256GB SSD,256,1
HP Envy 14-ES0013DX 13th Gen Core i5-1335U (8GB DDR4-512GB SSD),169999,220000,23,,,hp,Envy 14-ES0013DX 13th Gen Core i5-1335U,Core i5,512GB SSD,512,1
HP VICTUS 15-FA2013DX Ci5-13420H (8GB 512GB SSD) RTX 3050 6GB,195999,249900,22,,,hp,VICTUS 15-FA2013DX Ci5-13420H  RTX 3050 6GB,,512GB SSD,512,1
