Name,discounted_price,actual_price,saving_percent,rating,reviews,brand,model,core,ssd,ssd_gb,has_valid_ssd
Lenovo ThinkPad X1 Carbon G12 Ultra 7 (32GB-512GB SSD),549999,609999,10,,,lenovo,ThinkPad X1 Carbon G12 Ultra 7,Ultra 7,32GB-512GB SSD,32,1
LENOVO THINKPAD T14 14TH GEN Intel Core Ultra 7 155U (32GB-512GB SSD),430999,450000,4,,,lenovo,THINKPAD T14 14TH GEN Intel Core Ultra 7 155U,Ultra 7,32GB-512GB SSD,32,1
Lenovo V15 G3 15. 6 Inches 12th Gen Core i3 DOS (4GB - 256GB SSD),125499,149999,16,,,lenovo,V15 G3 15. 6 Inches 12th Gen Core i3 DOS,Core i3,4GB - 256GB SSD,4,1
Lenovo V15 G3-Ci5 12th (8GB 512GB SSD),132999,199999,34,,,lenovo,V15 G3-Ci5 12th,,512GB SSD,512,1
Lenovo Thinkbook 14 G7 14th Gen Core Ultra 5 125U (8GB DDR5 512GB SSD),195999,199999,2,,,lenovo,Thinkbook 14 G7 14th Gen Core Ultra 5 125U,Ultra 5,512GB SSD,512,1
Lenovo IdeaPad Slim 3 Ryzen 3 7320U DOS (8GB-256GB SSD),99999,114999,13,5,2,lenovo,IdeaPad Slim 3 Ryzen 3 7320U DOS,Ryzen 3,8GB-256GB SSD,8,1
Lenovo ThinkBook 16 Ultra 7 255H (8GB-512GB SSD),251999,280000,10,,,lenovo,ThinkBook 16 Ultra 7 255H,Ultra 7,8GB-512GB SSD,8,1
LENOVO THINKPAD E14 G4 13TH GEN Intel Core I7 1355U (8GB-512GB SSD),267999,280000,4,,,lenovo,THINKPAD E14 G4 13TH GEN Intel Core I7 1355U,,8GB-512GB SSD,8,1
Lenovo ThinkBook 16 Ci3-1305U (8GB-512GB SSD),127999,200000,36,,,lenovo,ThinkBook 16 Ci3-1305U,,8GB-512GB SSD,8,1
Lenovo Thinkbook 14 G7 14TH GEN Core Ultra 7 155H (8GB-512GB SSD),235999,239999,2,,,lenovo,Thinkbook 14 G7 14TH GEN Core Ultra 7 155H,Ultra 7,8GB-512GB SSD,8,1
Lenovo Thinkbook 16 14th Core 7 (8GB-512GB SSD),229999,350000,34,,,lenovo,Thinkbook 16 14th Core 7,,8GB-512GB SSD,8,1
Lenovo ThinkPad E14 G6 Intel Core Ultra 5 125U (8GB-512GB SSD),242999,250000,3,,,lenovo,ThinkPad E14 G6 Intel Core Ultra 5 125U,Ultra 5,8GB-512GB SSD,8,1
Lenovo ThinkPad E14 G8 U5-225H (8GB-512GB SSD),244999,300000,18,,,lenovo,ThinkPad E14 G8 U5-225H,,8GB-512GB SSD,8,1
Lenovo ThinkPad E16 G3 Ultra 5 225U (8GB-512GB SSD),224999,300000,25,,,lenovo,ThinkPad E16 G3 Ultra 5 225U,Ultra 5,8GB-512GB SSD,8,1
